,content
hate,"I hate working nights, cos I'm not really able to enjoy this gorgeous weather, as I will be asleep"
hate,Their songs make me want to cry..
hate,@AshleyGofficial aww dont cry ashley
hate,My siblings left me alone.   Bored. (:|
hate,In the bus... Almost an hour late because of my crappy alarm clock  should be in Leeuwarden at about 9:45
hate,"Well thats me for the day, watching Panthers tonight beat the Saints (fingers crossed) cause there are no QLD teams playing this round"
sadness,"@Krista_Watson I can't this weekend, sorry  And Steph is working."
sadness,just got home. im so effin sad
sadness,@lizz_xx cheer up lizzi there will b another foh hero concert   but still i suppose we can b upset  xoxoxo
sadness,"@zackintoys Sadly, it doesn't  I was so hopeful after American Doll Posse, too ... it's just so blah and vacant of dynamic."
hate,@MommaSalty ...that's a miserable afterparty report
hate,Not excited of blowing out another candle today... [as when I was a kid!]
sadness,sigh....it's always so sad when you watch the series finale....no more green wing left to watch
hate,Got the BrainBone daily question wrong!  - http://bit.ly/11dd2T
sadness,The fam back on the Big Island said the vog has been so bad that they can't see the ocean. Sad!
hate,"A sunny morning in the Big K, with lawns to mow and a 2 mile to run to attempt, urgh"
sadness,@USOuljah Ohh Emmm Geee. Souvlaki from Dimitris...I wanna go homeeee  LOL
hate,"@irkengir No. As a result, the salary is a decrease"
sadness,"I feel sick..like don't wanna get out of bed, be bothered, don't go 2 work, turn da light off, pull da shades n tv off type of sick"
hate,"@yelainez  oist the 1st tym, di pa ko 18, the 2nd tym, may sakit na siya... don't blame me"
sadness,Um k.. this is NOT Close My Eyes.. this song always makes me cry bc my mom is gone but I &lt;3 it anyway..
sadness,"@SmellTheCheese I know, that is so sad.  I"
hate,#DepecheMode concert next week cancelled  Alternative date not known yet. Dave Gahan had a tumor.
sadness,i'm so bored i can barely even tweet. i have nothing to talk about.  #boredboots
sadness,"my head is killing me, i keep sneezing, and i think my boyfriend fell asleep. greaaat"
hate,roughnight
hate,"Bad day, just got worse..."
hate,@irkengir It is a recession
sadness,Has been underpaid  just when i really didn't need to be as well.
hate,My birthday is now over.
sadness,Ugh talk to me someone  I'm really bored.
hate,have a splitting headache!
hate,Not a good start to the day left my money at home . So i'll hot a day me looking for free carparks
hate,@Farctum Oh poor thing  Hope it's easily sorted out. (and not too expensive!)
hate,@DontLetGo14 at home  im so lonely here...
love,it's pretty cold outside  today i got another exam...
sadness,@itstayloryall Im so sad we missed you at Family Reunion!!
hate,Ugh our two week push to produce a six pack has produced nothing but pain!
hate,@DarynJones Your youtube account is down.
hate,still sick  @ Home http://loopt.us/iArPRg.t
hate,not feeling too great today
love,i hate that feeling you get when you listen to a song and it completely reminds you of how things used to be &amp; you get emotional
love,you ever come across something that reminds you alot of the one person that completely broke your heart? cause i just did
love,"@Branwen6277 I'm better today.  Yesterday was really hard.  It's still just so unbelievable.  I miss him, too... and probably always will."
hate,is lonely in need of company
love,@dameenrouge I have been to Tara Thai a few times for friend's birthdays and the food I had was pretty bad.
